Fuel Source,Renewable,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
  Black coal,Non-Renewable,"67,650.30","64,398.60","60,732.20","60,453.70","56,798.60","55,819.50","52,562.20","55,334.50","55,967.10","57,022.20","57,734.90","53,566.70","50,790.80"
  Brown coal,Non-Renewable,,,,,,,,,,,,,
  Natural gas,Non-Renewable,"2,445.10","4,681.30","4,742.70","4,212.10","5,168.70","5,528.30","4,528.40","4,628.60","3,330.80","3,045.80","2,360.30","2,870.90","1,903.20"
  Oil products,Non-Renewable,24.7,5.6,61.4,42.1,190.9,170.7,284.3,289.5,321.6,324.4,322.6,337.3,340.6
  Other,Non-Renewable,336.6,493.6,266.1,,,,,,,,,,
"  Bagasse, wood",Renewable,291.3,295.3,253.3,413.6,425.4,461.7,551.1,601.7,696.5,765,758.8,716.2,686.1
  Biogas,Renewable,383.4,385.8,360,408.7,413.4,420.6,472.1,444.6,406.2,424.4,418.8,387.4,411
  Wind,Renewable,41.3,432.5,530.1,697.6,832.6,899.2,"1,376.00","1,898.80","1,872.00","2,431.60","3,739.70","4,574.30","4,805.90"
  Hydro,Renewable,"1,497.00","2,689.50","2,474.90","2,446.90","3,298.10","2,721.10","1,771.00","3,170.20","3,290.60","2,915.50","2,160.30","2,110.10","2,964.20"
Large-scale solar PV,Renewable,,,,,,10.6,60.2,399.5,567.6,700,"1,348.20","2,084.60","3,368.00"
  Small-scale solar PV,Renewable,36.3,119.2,526.3,657.7,857.6,964.9,"1,211.20","1,461.90","1,706.80","2,095.80","2,717.10","3,417.30","4,892.90"
  Geothermal,Renewable,,,,,,,,,,,,,
