Fuel Source,Renewable,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
  Black coal,Non-Renewable,,,,,,,,,,,,,
  Brown coal,Non-Renewable,"4,887.4","4,526.6","4,231.6","3,008.0","2,237.5","2,098.5","2,633.6","2,593.7",,,,,
  Natural gas,Non-Renewable,"7,371.4","6,937.0","6,693.1","6,703.2","7,060.9","5,998.1","5,003.8","4,956.0","6,028.2","7,753.2","7,245.8","6,614.0","5,589.0"
  Oil products,Non-Renewable,63.2,163.9,89.3,97.8,141.0,106.9,197.3,136.2,183.1,132.8,163.0,159.4,126.7
  Other,Non-Renewable,337.4,335.4,266.9,,8.5,,,,,,,,
"  Bagasse, wood",Renewable,,,,,,,,,,,,,
  Biogas,Renewable,86.1,85.5,77.8,70.6,72.6,80.9,84.9,94.6,78.0,74.0,85.0,97.4,94.6
  Wind,Renewable,"2,020.2","2,029.0","2,890.3","3,126.5","3,313.5","4,150.3","4,291.9","4,398.0","4,413.7","5,673.9","5,711.0","5,812.9","5,867.1"
  Hydro,Renewable,4.1,4.2,4.1,4.4,5.9,5.9,10.8,6.5,3.5,6.4,8.8,10.3,3.5
Large-scale solar PV,Renewable,,,,,,1.4,1.7,2.0,3.9,20.0,321.3,627.8,884.3
  Small-scale solar PV,Renewable,23.4,50.7,182.8,398.1,558.6,677.9,802.2,895.5,"1,000.8","1,163.4","1,402.5","1,717.6","2,128.2"
  Geothermal,Renewable,,,,,,,,,,,,,
