Fuel Source,Renewable,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21
  Black coal,Non-Renewable,,,,,,,,,,,,,
  Brown coal,Non-Renewable,"52,094.0","51,541.7","51,066.5","52,059.7","45,317.6","43,977.7","48,336.8","46,234.1","43,594.1","36,021.4","34,495.2","33,661.6","34,060.0"
  Natural gas,Non-Renewable,"1,451.9","1,697.9","1,289.8","1,142.5","3,247.7","3,239.3","2,390.9","1,892.2","2,658.7","3,829.9","3,334.0","3,117.0","1,956.9"
  Oil products,Non-Renewable,20.4,1.1,38.2,4.0,10.7,145.8,156.0,70.6,109.3,178.0,204.7,202.0,179.1
  Other,Non-Renewable,61.1,115.9,114.5,,,,,,,,,,
"  Bagasse, wood",Renewable,,,,187.1,171.1,188.8,252.0,235.4,263.4,241.0,235.5,243.8,229.7
  Biogas,Renewable,292.0,303.4,339.6,672.2,674.0,698.1,420.3,512.3,431.1,460.2,497.6,535.7,499.3
  Wind,Renewable,573.0,"1,406.0","1,434.4","1,416.2","2,005.1","2,771.9","3,067.8","3,341.8","3,560.9","4,303.9","4,863.7","5,596.2","7,080.6"
  Hydro,Renewable,"2,234.5","1,975.0","3,910.6","2,393.3","3,293.8","2,595.0","2,513.6","3,228.5","3,673.3","2,803.1","2,702.8","2,310.8","2,852.0"
Large-scale solar PV,Renewable,,,,,,4.4,9.1,11.5,13.8,39.4,462.5,872.5,"1,455.5"
  Small-scale solar PV,Renewable,24.1,66.2,205.5,378.7,580.1,674.2,874.8,"1,056.1","1,231.7","1,481.2","1,900.0","2,457.3","3,176.4"
  Geothermal,Renewable,,,,,,,,,,,,,
