Fuel Source,Renewable,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
  Black coal,Non-Renewable,8738.00,9612.20,10352.30,10783.30,10276.90,10885.30,10523.40,10912.70,11226.20,11031.90,9954.00,9725.20
  Brown coal,Non-Renewable,,,,,,,,,,,,
  Natural gas,Non-Renewable,14556.10,16006.30,18115.70,17538.30,17645.10,20880.00,20412.80,21899.60,22941.40,24789.10,25778.30,26918.60
  Oil products,Non-Renewable,1464.40,1373.40,1413.80,1171.20,2045.00,2486.10,4223.50,3347.40,2883.50,2166.50,2417.90,2301.70
  Other,Non-Renewable,2153.00,1017.80,1029.40,1072.40,1855.80,,,,,,,
"  Bagasse, wood",Renewable,,,,,,,,0.40,56.40,5.50,11.40,8.30
  Biogas,Renewable,119.60,121.20,111.70,125.70,108.30,124.00,126.90,94.20,126.80,135.70,119.90,104.10
  Wind,Renewable,675.10,664.00,719.30,1278.70,1300.20,1578.80,1643.20,1476.50,1616.70,1587.00,1851.20,2122.50
  Hydro,Renewable,na,na,na,,221.30,205.40,206.10,217.00,212.60,220.80,217.00,205.50
Large-scale solar PV,Renewable,,,,,,24.10,23.90,28.30,34.30,45.60,74.50,174.70
  Small-scale solar PV,Renewable,18.70,57.50,198.10,331.40,449.50,495.80,622.10,760.80,941.10,1196.40,1486.70,1835.30
  Geothermal,Renewable,,,,,,,,,,,,
