,year_id,state,consumption_per_capita_gj_person,energy_intensity_gj_$_million,energy_productivity_$_million_pj
0,0,VIC,265.9,3919.4,255.1
1,0,NSW,215.1,3043.4,328.6
2,0,QLD,310.9,4701.9,212.7
3,0,WA,409.5,4247.2,235.5
4,0,SA,222.0,3635.5,275.1
5,0,TAS,225.6,4110.5,243.3
6,0,NT,420.5,4669.1,214.2
7,1,VIC,262.5,3895.8,256.7
8,1,NSW,219.2,3090.0,323.6
9,1,QLD,293.9,4430.1,225.7
10,1,WA,395.4,3958.0,252.7
11,1,SA,211.2,3426.9,291.8
12,1,TAS,223.5,4076.1,245.3
13,1,NT,409.8,4650.6,215.0
14,2,VIC,262.9,3844.8,260.1
15,2,NSW,219.9,3067.8,326.0
16,2,QLD,279.1,4238.4,235.9
17,2,WA,416.6,4091.3,244.4
18,2,SA,209.1,3342.4,299.2
19,2,TAS,222.5,3981.3,251.2
20,2,NT,431.4,4785.4,209.0
21,3,VIC,259.1,3777.3,264.7
22,3,NSW,211.1,2908.2,343.9
23,3,QLD,287.8,4213.6,237.3
24,3,WA,405.0,3784.9,264.2
25,3,SA,185.7,2969.4,336.8
26,3,TAS,209.0,3668.9,272.6
27,3,NT,416.2,4525.5,221.0
28,4,VIC,247.6,3652.2,273.8
29,4,NSW,201.4,2751.1,363.5
30,4,QLD,286.9,4158.6,240.5
31,4,WA,409.9,3704.3,270.0
32,4,SA,213.2,3413.1,293.0
33,4,TAS,219.3,3873.3,258.2
34,4,NT,414.3,4317.6,231.6
35,5,VIC,237.1,3500.6,285.7
36,5,NSW,193.3,2621.8,381.4
37,5,QLD,283.7,4078.9,245.2
38,5,WA,423.7,3663.7,272.9
39,5,SA,199.8,3224.6,310.1
40,5,TAS,210.3,3677.5,271.9
41,5,NT,408.2,4220.6,236.9
42,6,VIC,231.5,3397.4,294.3
43,6,NSW,184.6,2472.2,404.5
44,6,QLD,300.6,4339.5,230.4
45,6,WA,411.5,3512.4,284.7
46,6,SA,209.9,3378.2,296.0
47,6,TAS,203.7,3531.7,283.1
48,6,NT,343.2,3529.5,283.3
49,7,VIC,229.5,3338.6,299.5
50,7,NSW,187.3,2456.8,407.0
51,7,QLD,302.3,4322.3,231.4
52,7,WA,439.7,3739.0,267.4
53,7,SA,184.7,2977.1,335.9
54,7,TAS,206.9,3536.1,282.8
55,7,NT,341.6,3455.4,289.4
56,8,VIC,220.3,3149.9,317.5
57,8,NSW,185.4,2406.6,415.5
58,8,QLD,310.8,4409.0,226.8
59,8,WA,454.9,3958.0,252.7
60,8,SA,166.2,2656.4,376.5
61,8,TAS,203.4,3512.5,284.7
62,8,NT,335.7,3379.7,295.9
63,9,VIC,204.7,2884.5,346.7
64,9,NSW,186.8,2399.4,416.8
65,9,QLD,308.9,4291.8,233.0
66,9,WA,461.6,3974.0,251.6
67,9,SA,191.4,3028.4,330.2
68,9,TAS,204.7,3502.9,285.5
69,9,NT,363.0,3588.5,278.7
70,10,VIC,195.9,2725.4,366.9
71,10,NSW,183.5,2326.2,429.9
72,10,QLD,298.4,4176.7,239.4
73,10,WA,474.8,4089.6,244.5
74,10,SA,184.7,2924.5,341.9
75,10,TAS,195.8,3313.2,301.8
76,10,NT,536.1,5353.4,186.8
77,11,VIC,183.7,2581.2,387.4
78,11,NSW,172.9,2216.3,451.2
79,11,QLD,285.7,4088.0,244.6
80,11,WA,466.5,4058.3,246.4
81,11,SA,178.1,2887.0,346.4
82,11,TAS,177.6,3047.3,328.2
83,11,NT,588.4,5561.5,179.8
84,12,VIC,173.5,2426.4,412.1
85,12,NSW,164.1,2071.5,482.8
86,12,QLD,277.0,3916.8,255.3
87,12,WA,453.3,3887.3,257.2
88,12,SA,172.6,2707.6,369.3
89,12,TAS,181.4,3021.9,330.9
90,12,NT,582.4,5543.4,180.4
